"236405031", "Portsmouth Naval Shipyard", "portsmouth-naval-shipyard" 
"240025033", "Andrews AFB", "andrews-afb" 
"240571021", "Fort Detrick", "fort-detrick" 
"240575003", "Fort Meade", "fort-meade" 
"241096037", "Naval Air Station Patuxent River", "naval-air-station-patuxent-river" 
"241095031", "Naval Surface Warfare Center", "naval-surface-warfare-center" 
"240036031", "Walter Reed National Military Medical Center", "walter-reed-national-military-medical-center" 
"250172001", "Camp Edwards", "camp-edwards" 
"250365017", "Fort Devens", "fort-devens" 
"250478017", "Hanscom AFB", "hanscom-afb" 
"250975001", "Otis Air National Guard Base", "otis-ang-base" 
"251445013", "Westover Air Reserve Base", "westover-air-reserve-base" 
"261755025", "Fort Custer", "fort-custer" 
"264515099", "Selfridge Air National Guard Base", "selfridge-ang-base" 
"271035097", "Camp Ripley", "camp-ripley" 
"280395035", "Camp Shelby", "camp-shelby" 
"280545087", "Columbus AFB", "columbus-afb" 
"281235047", "Keesler AFB", "keesler-afb" 
"292855169", "Fort Leonard Wood", "fort-leonard-wood" 
"298355101", "Whiteman AFB", "whiteman-afb" 
"300767013", "Malmstrom AFB", "malmstrom-afb" 
"313595153", "Offutt AFB", "offutt-afb" 
"320055003", "Creech AFB", "creech-afb" 
"320149001", "Naval Air Station Fallon", "naval-air-station-fallon" 
"320145003", "Nellis AFB", "nellis-afb" 
"330398015", "Pease Air National Guard Base", "pease-ang-base" 
"341530005", "Joint Base McGuire-Dix-Lakehurst", "joint-base-mcguire-dix-lakehurst" 
"340775025", "Naval Weapons Station Earle", "naval-weapons-station-earle" 
"342585027", "Picatinny Arsenal", "picatinny-arsenal" 
"350121009", "Cannon AFB", "cannon-afb" 
"350415035", "Holloman AFB", "holloman-afb" 
"350455001", "Kirtland AFB", "kirtland-afb" 
"350871013", "White Sands Missile Range", "white-sands-missile-range" 
"360816119", "Camp Smith", "camp-smith" 
"362105047", "Fort Hamilton", "fort-hamilton" 
"370735133", "Camp Lejeune", "camp-lejeune" 
"372894049", "Marine Corps Air Station Cherry Point", "marine-corps-air-station-cherry-point" 
"372895133", "Marine Corps Air Station New River", "marine-corps-air-station-new-river" 
"373697051", "Pope AFB", "pope-afb" 
"374155191", "Seymour Johnson AFB", "seymour-johnson-afb" 
"381282035", "Grand Forks AFB", "grand-forks-afb" 
"382172101", "Minot AFB", "minot-afb" 
"391283123", "Camp Perry", "camp-perry" 
"396831133", "Camp Ravenna", "camp-ravenna" 
"396922049", "Rickenbacker Air National Guard Base", "rickenbacker-ang-base" 
"399165057", "Wright-Patterson AFB", "wright-patterson-afb" 
"400122065", "Altus AFB", "altus-afb" 
"401698031", "Fort Sill", "fort-sill" 
"404725109", "Tinker AFB", "tinker-afb" 
"404845047", "Vance AFB", "vance-afb" 
"424405055", "Letterkenny Army Depot", "letterkenny-army-depot" 
"425699041", "Naval Support Activity Mechanicsburg", "naval-support-activity-mechanicsburg" 
"421943133", "New Cumberland - DLA", "new-cumberland-defense-logistics-agency" 
"425697101", "Philadelphia Naval Shipyard", "philadelphia-naval-shipyard" 
"RQ0155000", "Borinquen Air Station", "borinquen-air-station" 
"RQ0395000", "Fort Buchanan", "fort-buchanan" 
"440136005", "Naval Station Newport", "naval-station-newport" 
"450885079", "Fort Jackson", "fort-jackson" 
"450411019", "Joint Base Charleston", "joint-base-charleston" 
"451615079", "McEntire Air National Guard Base", "mcentire-ang-base" 
"452365085", "Shaw AFB", "shaw-afb" 
"460885103", "Ellsworth AFB", "ellsworth-afb" 
"470092031", "Arnold AFB", "arnold-afb" 
"481112453", "Camp Mabry", "camp-mabry" 
"482017441", "Dyess AFB", "dyess-afb" 
"482184201", "Ellington AFB", "ellington-afb" 
"482433141", "Fort Bliss", "fort-bliss" 
"482437027", "Fort Hood", "fort-hood" 
"482438029", "Fort Sam Houston", "fort-sam-houston" 
"482725451", "Goodfellow AFB", "goodfellow-afb" 
"483595029", "Kelly Field Annex", "kelly-field-annex" 
"483765029", "Lackland AFB", "lackland-afb" 
"483907465", "Laughlin AFB", "laughlin-afb" 
"485635029", "Randolph AFB", "randolph-afb" 
"485680037", "Red River Army Depot", "red-river-army-depot" 
"486345485", "Sheppard AFB", "sheppard-afb" 
"490354045", "Dugway Proving Ground", "dugway-proving-ground" 
"490695011", "Hill AFB", "hill-afb" 
"491941045", "Tooele Army Depot", "tooele-army-depot" 
"500205007", "Burlington Air National Guard Base", "burlington-ang-base" 
"510397095", "Camp Peary", "camp-peary" 
"510702810", "Dam Neck Annex", "dam-neck-annex" 
"510997033", "Fort AP Hill", "fort-ap-hill" 
"511001059", "Fort Belvoir", "fort-belvoir" 
"511004700", "Fort Eustis", "fort-eustis" 
"511008013", "Fort Myer", "fort-myer" 
"510998135", "Fort Pickett", "fort-pickett" 
"511466810", "Joint Expeditionary Base Little Creek-Fort Story", "joint-expeditionary-base-little-creek-fort-story" 
"511404650", "Langley AFB", "langley-afb" 
"511822810", "Naval Air Station Oceana", "naval-air-station-oceana" 
"511686710", "Naval Station Norfolk", "naval-station-norfolk" 
"511683199", "Naval Weapons Station Yorktown", "naval-weapons-station-yorktown" 
"530705063", "Fairchild AFB", "fairchild-afb" 
"530763053", "Joint Base Lewis-McChord", "joint-base-lewis-mcchord" 
"532508029", "Naval Air Station Whidbey Island", "naval-air-station-whidbey-island" 
"531457035", "Naval Hospital Bremerton", "naval-hospital-bremerton" 
"540393055", "Camp Creek", "camp-creek" 
"550847057", "Camp Williams", "camp-williams" 
"551765081", "Fort McCoy", "fort-mccoy" 
"560875021", "Warren AFB", "warren-afb" 
